"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","@suziproibida O engracado eh que o Bahia so faz estrago no outro time q eu torco, pqp",FALSE,0,"suziproibida",2020-10-08 02:11:13,FALSE,"1313995137161322496","1314025524071723008","364388406","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","eduardaagda",0,FALSE,FALSE,NA,NA
"2","@suziproibida @MarujoEcb pse, ta certo uma porra",FALSE,0,"suziproibida",2020-10-07 23:35:07,FALSE,"1313986029876137986","1313986240610553857","364388406","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mariaatriunfoo",0,FALSE,FALSE,NA,NA
"3","@suziproibida na cara dura vei, esse vin disel falsificado",FALSE,0,"suziproibida",2020-10-07 23:31:10,FALSE,"1313984912169537536","1313985250264002562","364388406","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","oxentenat",0,FALSE,FALSE,NA,NA
"4","@suziproibida com certeza!",FALSE,1,"suziproibida",2020-10-07 23:10:48,FALSE,"1313979638855733249","1313980121095831554","364388406","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","oxentenat",0,FALSE,FALSE,NA,NA
"5","@suziproibida claramente lance de expulsao",FALSE,1,"suziproibida",2020-10-07 22:59:05,FALSE,"1313977060306677760","1313977173217247232","364388406","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","oxentenat",0,FALSE,FALSE,NA,NA
"6","@suziproibida gostei viu, por mim ja fica ai",FALSE,1,"suziproibida",2020-10-07 22:58:25,FALSE,"1313976231113654272","1313977006695088129","364388406","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","oxentenat",0,FALSE,FALSE,NA,NA
"7","@suziproibida @rodrigosr__ sim veeeeeei kkkkk",FALSE,0,"suziproibida",2020-10-07 17:36:03,FALSE,"1313893348286107648","1313895881830211586","364388406","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","italo_estr",0,FALSE,FALSE,NA,NA
"8","@suziproibida @NatiiiiSol Meu cuzao vey",FALSE,0,"suziproibida",2020-10-07 11:48:01,FALSE,"1313807239157817344","1313808295703064581","364388406","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rodrigosr__",1,FALSE,FALSE,NA,NA
"9","@suziproibida Aiai kkkkkkkkk",FALSE,1,"suziproibida",2020-10-07 11:31:15,FALSE,"1313802823285583872","1313804075096571904","364388406","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NatiiiiSol",0,FALSE,FALSE,NA,NA
"10","@suziproibida Uiuiui mestranda",FALSE,0,"suziproibida",2020-10-07 11:24:55,FALSE,"1313460603034447873","1313802480317272065","364388406","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NatiiiiSol",0,FALSE,FALSE,NA,NA
"11","@suziproibida vc me odeia",FALSE,0,"suziproibida",2020-10-07 09:44:10,FALSE,"1313774246104109056","1313777126894710784","364388406","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","totaldesordem",0,FALSE,FALSE,NA,NA
"12","@suziproibida kkkkkkkkkkkkkkkkkkkk a buzina do caminhao chega apitou",FALSE,1,"suziproibida",2020-10-07 01:17:21,FALSE,"1313649181836406785","1313649580832161797","364388406","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","totaldesordem",0,FALSE,FALSE,NA,NA
"13","@suziproibida Eu concordo minha amiga",FALSE,1,"suziproibida",2020-10-06 19:04:42,FALSE,"1313553467684855809","1313555803786432525","364388406","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","badgalmale",0,FALSE,FALSE,NA,NA
"14","@suziproibida Tem essa possibilidade",FALSE,0,"suziproibida",2020-10-06 17:47:33,FALSE,"1313481427535777798","1313536388005072896","364388406","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","rodrigosr__",0,FALSE,FALSE,NA,NA
"15","@suziproibida Vc vai ter todo o dia livre para realizar a prova? Muito sonho. Na graduacao, vc tem todo o dia para... https://t.co/rtr5wKimMd",FALSE,0,"suziproibida",2020-10-06 14:04:21,TRUE,"1313478901478420480","1313480218330443778","364388406","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","rodrigosr__",0,FALSE,FALSE,NA,NA
"16","@suziproibida Sonho",FALSE,0,"suziproibida",2020-10-06 13:57:59,FALSE,"1313477822116237316","1313478615288500225","364388406","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","rodrigosr__",0,FALSE,FALSE,NA,NA
"17","@suziproibida Ikkkklkkkkkkkkkkkkkkkkkkkkkkkkk pelo menos fica visivelmente mais harmonico ja q eu n vou ver a bagunca",FALSE,0,"suziproibida",2020-10-06 01:22:55,FALSE,"1313286665310437376","1313288596661694470","364388406","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","badgalmale",0,FALSE,FALSE,NA,NA
"18","@suziproibida @MatheusBrgs_ Dois loucos",FALSE,1,"suziproibida",2020-10-05 20:29:39,FALSE,"1313201668801134593","1313214794384564224","364388406","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rodrigosr__",0,FALSE,FALSE,NA,NA
"19","@provasextintos @31_m4th3w_31 @suziproibida",FALSE,0,"provasextintos",2020-10-04 00:14:02,FALSE,"1312496155876499457","1312546485075148800","1272370507942428673","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","totaldesordem",0,FALSE,FALSE,NA,NA
"20","@aanonnyma @suziproibida",FALSE,1,"aanonnyma",2020-10-03 10:30:06,FALSE,"1281539210814672902","1312339134783070208","196320338","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","totaldesordem",0,FALSE,FALSE,NA,NA
"21","@suziproibida a foto mais bonita q eu vi no twitter hoje",FALSE,0,"suziproibida",2020-10-03 03:00:07,FALSE,"1312225068861345793","1312225893264371712","364388406","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","oxentenat",0,FALSE,FALSE,NA,NA
"22","@totaldesordem @suziproibida Ahaaam",FALSE,0,"totaldesordem",2020-10-02 21:16:04,FALSE,"1312138434564112390","1312139310234128385","1203417282116018176","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_afrosnake",0,FALSE,FALSE,NA,NA
